,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country
1,4ba66309f964a520d24c39e3,MTA Subway - Westchester Square/E Tremont Ave (6),Westchester Ave,E Tremont Ave,40.840209430419016,-73.84302341078356,"[{'label': 'display', 'lat': 40.840209430419016, 'lng': -73.84302341078356}]",Westchester Square,2,,,,,
2,4d3b5449fa736ea806131f8a,MTA NYCT Bus - Bx31 - Pelham Pkwy S.,,Pelham Pkwy/Eastchester Rd,40.8569121,-73.84390711784363,"[{'label': 'display', 'lat': 40.8569121, 'lng': -73.84390711784363}]",Westchester Square,3,,,,,
3,54932887498ee0902b1ed511,Residence Inn by Marriott New York The Bronx at Metro Center Atrium,1776 Eastchester Road,,40.8485818,-73.8450281,"[{'label': 'display', 'lat': 40.8485818, 'lng': -73.8450281}]",Westchester Square,4,,,,,
4,4d42c712b0342d438e5f2bbe,MTA MaBSTOA Bus - Bx5 / Bx40 / Bx42 / Q50 / BxM8 at East Tremont Avenue / Bruckner Blvd,East Tremont Avenue,Bruckner Blvd,40.832901346452914,-73.82806686112771,"[{'label': 'display', 'lat': 40.832901346452914, 'lng': -73.82806686112771}]",Westchester Square,5,,,,,
5,4b708bdff964a5200c212de3,MTA Subway - Castle Hill Ave (6),,,40.83413661916576,-73.85175756845145,"[{'label': 'display', 'lat': 40.83413661916576, 'lng': -73.85175756845145}]",Westchester Square,6,,,,,
6,4ce1dbc22ca459413e1d6a9e,MTA Bus - Q44+SBS+ @ Cross Bronx Service Rd & Castle Hill Ave,Cross Bronx Service Road,Cross Bronx Service Road and Castle Hill Avenue,40.83013459976217,-73.85087269261578,"[{'label': 'display', 'lat': 40.83013459976217, 'lng': -73.85087269261578}]",Westchester Square,7,,,,,
7,53769e72498e797552910fc0,Hutchinson Pkwy North,,,40.84618082258893,-73.83655637800234,"[{'label': 'display', 'lat': 40.84618082258893, 'lng': -73.83655637800234}]",Westchester Square,8,,,,,
8,4ea1b6a55c5cd12b3552a49c,MTA Bus - Hutchinson RVR Pky & Lafayette Av (Q44-SBS/Q50),Hutchinson River Pkwy,at  Lafayette Ave,40.82508509418721,-73.8366376798772,"[{'label': 'display', 'lat': 40.82508509418721, 'lng': -73.8366376798772}]",Westchester Square,9,,,,,
9,4ed2d4cb0e01f1a882be02d3,Bx39 Bus Stop,"1510 White Plains Rd, Bronx, NY 10462",,40.83833312988281,-73.86329650878906,"[{'label': 'display', 'lat': 40.83833312988281, 'lng': -73.86329650878906}]",Westchester Square,10,,,,,
10,4b87bd44f964a52096c931e3,MTA Subway - Buhre Ave (6),Buhre Ave,Westchester Ave,40.84705848133008,-73.83228926137434,"[{'label': 'display', 'lat': 40.84705848133008, 'lng': -73.83228926137434}]",Westchester Square,11,,,,,
11,4c80e6d2d4e23704314a5888,Enterprise Rent-A-Car,1964 Eastchester Rd,,40.852523031774275,-73.84310588950831,"[{'label': 'display', 'lat': 40.852523031774275, 'lng': -73.84310588950831}, {'label': 'entrance', 'lat': 40.852559, 'lng': -73.843252}]",Westchester Square,12,,,,,
12,5107067fe4b0296f1f7efa9e,Bx8 Otis Avenue,,,40.83359600249119,-73.82521845799161,"[{'label': 'display', 'lat': 40.83359600249119, 'lng': -73.82521845799161}]",Westchester Square,13,,,,,
13,4d9623a3e07ea35da697b802,Hertz,1539 Stillwell Avenue,Seminole Ave,40.854095,-73.842562,"[{'label': 'display', 'lat': 40.854095, 'lng': -73.842562}]",Westchester Square,14,,,,,
14,4e68ee3c1838d179b133653a,MTA Bus - Chatterton Avenue and Zerega Avenue (Q44+SBS+ Bronx Zoo),Cross Bronx Expressway,Chatterton Avenue and Zerega Avenue e,40.828987807635116,-73.84456157684326,"[{'label': 'display', 'lat': 40.828987807635116, 'lng': -73.84456157684326}]",Westchester Square,15,,,,,
15,4cc82ecca32bb1f732a3aca8,MTA Bus Stop BX22 - E. Tremont Ave,,E. Tremont Ave & Unionport Rd.,40.839470391755825,-73.8615733134625,"[{'label': 'display', 'lat': 40.839470391755825, 'lng': -73.8615733134625}]",Westchester Square,16,,,,,
16,4f3cde37a17c8a4ed1dc0aec,MTA Bus - BxM10 Express at Morris Park Avenue & Bronxdale Avenue,Morris Park Avenue,Bronxdale Avenue,40.846507525248924,-73.85998831268716,"[{'label': 'display', 'lat': 40.846507525248924, 'lng': -73.85998831268716}]",Westchester Square,17,,,,,
17,4f80400de4b088077e8e0a97,Rainbow Submarine,,,40.844781177563405,-73.8648294162608,"[{'label': 'display', 'lat': 40.844781177563405, 'lng': -73.8648294162608}]",Westchester Square,18,,,,,
18,5be5efb39b0473002cbe0344,BxM8 To Manhattan (Jarvis Ave & Bruckner Blvd),,,40.843164,-73.826281,"[{'label': 'display', 'lat': 40.843164, 'lng': -73.826281}]",Westchester Square,19,,,,,
19,4d40b4d7b7c25941526abbdb,"MTA MaBSTOA Bus at Pelham Parkway & Eastchester Road: (Bx12 & +Select [SBS], Bx31, BxM10)",Pelham Parkway,Eastchester Road,40.857395869701165,-73.84400550823828,"[{'label': 'display', 'lat': 40.857395869701165, 'lng': -73.84400550823828}]",Westchester Square,20,,,,,
20,4b4fbbe3f964a5201e1327e3,MTA Subway - Zerega Ave (6),Zerega Ave,Metropolitan Ave,40.836622,-73.847136,"[{'label': 'display', 'lat': 40.836622, 'lng': -73.847136}]",Westchester Square,21,,,,,
21,4e446a5162e1b6355aac5c9d,MTA MaBSTOA Bus Bx22 / Bx39 / BxM10 At White Plains Road & Morris Park Avenue,Morris Park Avenue,White Plains Road,40.84651028935114,-73.86388410329643,"[{'label': 'display', 'lat': 40.84651028935114, 'lng': -73.86388410329643}]",Westchester Square,22,,,,,
22,4bd8716cdc4b9521fc267988,MTA BXM10,Morris Park Ave,Williamsbridge Rd,40.85024693472441,-73.85171597687419,"[{'label': 'display', 'lat': 40.85024693472441, 'lng': -73.85171597687419}]",Westchester Square,23,,,,,
23,517ed4a9498e3d70626316bb,MTA Bus - Bruckner Blvd & East Tremont Ave - Bx5/Q50/BxM8,Bruckner Blvd,East Tremont Ave,40.833212252538864,-73.82848664852474,"[{'label': 'display', 'lat': 40.833212252538864, 'lng': -73.82848664852474}]",Westchester Square,24,,,,,
24,4c60af8a924b76b0c33cf4b9,Hutchinson Whitestone Motel Corp,2815 Westchester Ave,,40.844101,-73.836378,"[{'label': 'display', 'lat': 40.844101, 'lng': -73.836378}, {'label': 'entrance', 'lat': 40.844037, 'lng': -73.836348}]",Westchester Square,25,,,,,
25,4d836d2fd5fab60c3fb9cb9b,Q50,Bruckner Blvd,E. Tremont ave,40.83322584629059,-73.82863998413086,"[{'label': 'display', 'lat': 40.83322584629059, 'lng': -73.82863998413086}]",Westchester Square,26,,,,,
